608,608,607,607,607,615,615,615
611,611,611,615,615,600,600,608
613,613,615,611,611,611,611,611
615,605,605,605,613,613,613,613
614,614,614,614,614,614,612,612
613,613,611,611,611,611,611,614
611,613,613,613,611,611,611,611
603,603,609,613,613,613,603,603
605,605,609,609,609,605,605,605
610,610,610,612,609,609,605,605
611,611,610,610,607,607,611,611
613,613,611,611,611,613,613,613
609,605,605,605,603,603,609,613
609,609,609,605,605,605,603,603
612,612,610,610,610,610,614,614
610,607,604,604,610,610,610,610
603,603,603,605,605,605,610,610
605,605,603,603,609,605,605,605
610,614,614,614,609,609,605,605
610,610,610,610,614,614,610,610
604,604,610,610,610,614,601,601
605,605,605,605,610,610,608,604
609,609,609,605,605,605,603,603
614,614,602,602,602,602,614,614
606,606,601,601,602,602,602,614
606,606,606,601,601,601,602,602
604,604,608,608,604,604,604,604
602,614,614,614,603,609,605,605
602,602,602,614,614,614,602,602
601,601,606,606,606,606,601,601
604,604,604,604,606,606,606,601
600,600,604,604,604,604,600,600
