641,641,640,640,640,648,648,648
644,644,644,648,648,633,633,641
646,646,648,644,644,644,644,644
648,638,638,638,646,646,646,646
647,647,647,647,647,647,645,645
646,646,644,644,644,644,644,647
644,646,646,646,644,644,644,644
636,636,642,646,646,646,636,636
638,638,642,642,642,638,638,638
643,643,643,645,642,642,638,638
644,644,643,643,640,640,644,644
646,646,644,644,644,646,646,646
642,638,638,638,636,636,642,646
642,642,642,638,638,638,636,636
645,645,643,643,643,643,647,647
643,640,637,637,643,643,643,643
636,636,636,638,638,638,643,643
638,638,636,636,642,638,638,638
643,647,647,647,642,642,638,638
643,643,643,643,647,647,643,643
637,637,643,643,643,647,634,634
638,638,638,638,643,643,641,637
642,642,642,638,638,638,636,636
647,647,635,635,635,635,647,647
639,639,634,634,635,635,635,647
639,639,639,634,634,634,635,635
637,637,641,641,637,637,637,637
635,647,647,647,636,642,638,638
635,635,635,647,647,647,635,635
634,634,639,639,639,639,634,634
637,637,637,637,639,639,639,634
633,633,637,637,637,637,633,633
