608,607,641,640,408,113,113,113
611,644,678,200,409,667,675,101
613,646,682,201,410,506,113,104
615,646,680,202,411,507,113,107
614,647,681,203,412,509,113,114
613,646,678,204,415,510,113,209
611,646,680,205,416,511,113,412
603,644,676,206,417,513,113,414
605,638,670,207,413,514,113,503
610,643,677,208,414,515,113,505
611,644,677,209,501,516,113,201
613,646,678,210,502,517,113,100
609,646,680,211,503,518,113,681
609,642,672,218,504,519,113,668
612,645,677,219,505,520,113,218
610,640,679,220,540,521,113,834
603,636,676,221,541,522,113,8
605,638,670,222,547,523,113,9
610,643,681,223,400,524,113,113
610,643,677,100,401,525,113,113
604,637,677,101,402,526,113,113
605,638,672,104,403,527,113,113
609,642,672,105,404,529,113,113
614,647,669,106,405,530,113,113
606,647,668,107,406,531,113,113
606,639,666,108,1,534,113,113
604,637,675,109,8,535,113,113
602,635,681,112,4,548,113,113
602,635,669,113,6,549,113,113
601,634,673,114,233,113,113,113
604,634,671,230,707,536,113,113
600,633,671,239,113,124,113,0
