675,675,674,674,674,682,682,682
678,678,678,682,682,667,667,675
680,680,682,678,678,678,678,678
682,672,672,672,680,680,680,680
681,681,681,681,681,681,679,679
680,680,678,678,678,678,678,681
678,680,680,680,678,678,678,678
670,670,676,680,680,680,670,670
672,672,676,676,676,672,672,672
677,677,677,679,676,676,672,672
678,678,677,677,674,674,678,678
680,680,678,678,678,680,680,680
676,672,672,672,670,670,676,680
676,676,676,672,672,672,670,670
679,679,677,677,677,677,681,681
677,674,671,671,677,677,677,677
670,670,670,672,672,672,677,677
672,672,670,670,676,672,672,672
677,681,681,681,676,676,672,672
677,677,677,677,681,681,677,677
671,671,677,677,677,681,668,668
672,672,672,672,677,677,675,671
676,676,676,672,672,672,670,670
681,681,669,669,669,669,681,681
673,673,668,668,669,669,669,681
673,673,673,668,668,668,669,669
671,671,675,675,671,671,671,671
669,681,681,681,670,676,672,672
669,669,669,681,681,681,669,669
668,668,673,673,673,673,668,668
666,671,671,671,673,673,673,668
667,667,671,671,671,671,667,667
